"Entity","Code","Year","Death.rate.from.alzheimer.disease.and.other.dementias.among.both.sexes"
"Romania","ROU",2015,9.85
"Romania","ROU",2016,10.77
"Romania","ROU",2017,12.56
"Romania","ROU",2018,13.72
"Romania","ROU",2019,12.53
"Romania","ROU",2020,14.53
"Romania","ROU",2021,15.5
"Russia","RUS",2000,20.5
"Russia","RUS",2001,20.17
"Russia","RUS",2002,19.97
"Russia","RUS",2003,21.18
"Russia","RUS",2004,21.71
"Russia","RUS",2005,21.96
"Russia","RUS",2006,22.92
"Russia","RUS",2007,23.42
"Russia","RUS",2008,24.04
"Russia","RUS",2009,25.15
"Russia","RUS",2010,26.12
"Russia","RUS",2011,26.66
"Russia","RUS",2012,28.06
"Russia","RUS",2013,28.97
"Russia","RUS",2014,30.78
"Russia","RUS",2015,30.86
"Russia","RUS",2016,32.39
"Russia","RUS",2017,33.63
"Russia","RUS",2018,34.45
"Russia","RUS",2019,34.59
"Russia","RUS",2020,32.76
"Russia","RUS",2021,34.69
"San Marino","SMR",2000,43.73
"San Marino","SMR",2001,43.75
"San Marino","SMR",2002,44.73
"San Marino","SMR",2003,45.73
"San Marino","SMR",2004,44.93
"San Marino","SMR",2005,44.87
"San Marino","SMR",2006,43.86
"San Marino","SMR",2007,45.67
"San Marino","SMR",2008,51.37
"San Marino","SMR",2009,54.6
"San Marino","SMR",2010,55.87
"San Marino","SMR",2011,56.47
"San Marino","SMR",2012,58.01
"San Marino","SMR",2013,59.07
"San Marino","SMR",2014,60.53
"San Marino","SMR",2015,61.9
"San Marino","SMR",2016,64.11
"San Marino","SMR",2017,65.27
"San Marino","SMR",2018,65.46
"San Marino","SMR",2019,66.24
"San Marino","SMR",2020,75.75
"San Marino","SMR",2021,78.23
"Serbia","SRB",2000,1.48
"Serbia","SRB",2001,1.26
"Serbia","SRB",2002,1.62
"Serbia","SRB",2003,2.05
"Serbia","SRB",2004,3.72
"Serbia","SRB",2005,4.99
"Serbia","SRB",2006,4.49
"Serbia","SRB",2007,6.38
"Serbia","SRB",2008,6.75
"Serbia","SRB",2009,8.69
"Serbia","SRB",2010,11.42
"Serbia","SRB",2011,13.29
"Serbia","SRB",2012,15.76
"Serbia","SRB",2013,18.32
"Serbia","SRB",2014,19.85
"Serbia","SRB",2015,25.88
"Serbia","SRB",2016,28.48
"Serbia","SRB",2017,32.26
"Serbia","SRB",2018,31.4
"Serbia","SRB",2019,32.5
"Serbia","SRB",2020,36.16
"Serbia","SRB",2021,37.12
"Slovakia","SVK",2000,1.19
"Slovakia","SVK",2001,2.05
"Slovakia","SVK",2002,1.99
"Slovakia","SVK",2003,2.44
"Slovakia","SVK",2004,2.93
"Slovakia","SVK",2005,3.63
"Slovakia","SVK",2006,3.45
"Slovakia","SVK",2007,4.56
"Slovakia","SVK",2008,4.19
"Slovakia","SVK",2009,4.1
"Slovakia","SVK",2010,4.63
"Slovakia","SVK",2011,11.75
"Slovakia","SVK",2012,30.52
"Slovakia","SVK",2013,20.65
"Slovakia","SVK",2014,26.33
"Slovakia","SVK",2015,20.89
"Slovakia","SVK",2016,26.8
"Slovakia","SVK",2017,20.75
"Slovakia","SVK",2018,25.71
"Slovakia","SVK",2019,25.1
"Slovakia","SVK",2020,21.02
"Slovakia","SVK",2021,15.17
"Slovenia","SVN",2000,3.66
"Slovenia","SVN",2001,3.65
"Slovenia","SVN",2002,5.48
"Slovenia","SVN",2003,7.12
"Slovenia","SVN",2004,4.98
"Slovenia","SVN",2005,5.93
"Slovenia","SVN",2006,5.22
"Slovenia","SVN",2007,2.64
"Slovenia","SVN",2008,4.13
"Slovenia","SVN",2009,2.86
"Slovenia","SVN",2010,3.37
"Slovenia","SVN",2011,4.95
"Slovenia","SVN",2012,5.16
"Slovenia","SVN",2013,5.4
"Slovenia","SVN",2014,7.09
"Slovenia","SVN",2015,8.39
"Slovenia","SVN",2016,8.13
"Slovenia","SVN",2017,11.76
"Slovenia","SVN",2018,14.49
"Slovenia","SVN",2019,17.57
"Slovenia","SVN",2020,22.31
"Slovenia","SVN",2021,16.76
"Spain","ESP",2000,42.29
"Spain","ESP",2001,44.52
"Spain","ESP",2002,46.73
"Spain","ESP",2003,53.04
"Spain","ESP",2004,47.9
"Spain","ESP",2005,51.06
"Spain","ESP",2006,49.86
"Spain","ESP",2007,51.82
"Spain","ESP",2008,54.11
"Spain","ESP",2009,58.28
"Spain","ESP",2010,59.39
"Spain","ESP",2011,62.03
"Spain","ESP",2012,67.62
"Spain","ESP",2013,66.41
"Spain","ESP",2014,72.81
"Spain","ESP",2015,82.51
"Spain","ESP",2016,79.82
"Spain","ESP",2017,83.11
"Spain","ESP",2018,84.05
"Spain","ESP",2019,84.02
"Spain","ESP",2020,82.98
"Spain","ESP",2021,74.54
"Sweden","SWE",2000,49.87
"Sweden","SWE",2001,56.08
"Sweden","SWE",2002,61.67
"Sweden","SWE",2003,54.31
"Sweden","SWE",2004,61.42
"Sweden","SWE",2005,64.71
"Sweden","SWE",2006,66.23
"Sweden","SWE",2007,71.32
"Sweden","SWE",2008,70.1
"Sweden","SWE",2009,71.05
"Sweden","SWE",2010,75.39
"Sweden","SWE",2011,78.59
"Sweden","SWE",2012,86.2
"Sweden","SWE",2013,86.1
"Sweden","SWE",2014,86.01
"Sweden","SWE",2015,91.78
"Sweden","SWE",2016,95.58
"Sweden","SWE",2017,98.29
"Sweden","SWE",2018,102.11
"Sweden","SWE",2019,98.91
"Sweden","SWE",2020,100.12
"Sweden","SWE",2021,89.54
"Switzerland","CHE",2000,37.25
"Switzerland","CHE",2001,41.94
"Switzerland","CHE",2002,46.27
"Switzerland","CHE",2003,48.41
"Switzerland","CHE",2004,46.66
"Switzerland","CHE",2005,52.05
"Switzerland","CHE",2006,50.27
"Switzerland","CHE",2007,54.41
"Switzerland","CHE",2008,58.25
"Switzerland","CHE",2009,63.37
"Switzerland","CHE",2010,68.61
"Switzerland","CHE",2011,69.92
"Switzerland","CHE",2012,76.8
"Switzerland","CHE",2013,77.96
"Switzerland","CHE",2014,75.69
"Switzerland","CHE",2015,82.86
"Switzerland","CHE",2016,74.25
"Switzerland","CHE",2017,82.68
"Switzerland","CHE",2018,81.06
"Switzerland","CHE",2019,85.34
"Switzerland","CHE",2020,83.21
"Switzerland","CHE",2021,73.59
"Turkey","TUR",2000,11.81
"Turkey","TUR",2001,11.88
"Turkey","TUR",2002,11.9
"Turkey","TUR",2003,11.82
"Turkey","TUR",2004,11.8
"Turkey","TUR",2005,11.85
"Turkey","TUR",2006,12.05
"Turkey","TUR",2007,12.31
"Turkey","TUR",2008,12.66
"Turkey","TUR",2009,13.01
"Turkey","TUR",2010,13.22
"Turkey","TUR",2011,13.55
"Turkey","TUR",2012,13.87
"Turkey","TUR",2013,14.26
"Turkey","TUR",2014,14.84
"Turkey","TUR",2015,15.36
"Turkey","TUR",2016,15.86
"Turkey","TUR",2017,16.3
"Turkey","TUR",2018,16.68
"Turkey","TUR",2019,17.35
"Turkey","TUR",2020,19.04
"Turkey","TUR",2021,18.72
"Ukraine","UKR",2000,21.17
"Ukraine","UKR",2001,20.83
"Ukraine","UKR",2002,21.29
"Ukraine","UKR",2003,22.23
"Ukraine","UKR",2004,22.58
"Ukraine","UKR",2005,24.35
"Ukraine","UKR",2006,25.54
"Ukraine","UKR",2007,25.76
"Ukraine","UKR",2008,26.33
"Ukraine","UKR",2009,27.73
"Ukraine","UKR",2010,29.22
"Ukraine","UKR",2011,29.25
"Ukraine","UKR",2012,29.89
"Ukraine","UKR",2013,30.66
"Ukraine","UKR",2014,32.68
"Ukraine","UKR",2015,32.73
"Ukraine","UKR",2016,33.43
"Ukraine","UKR",2017,33.92
"Ukraine","UKR",2018,34.33
"Ukraine","UKR",2019,34.42
"Ukraine","UKR",2020,35.39
"Ukraine","UKR",2021,33.56
"United Kingdom","GBR",2000,20.36
"United Kingdom","GBR",2001,35.37
"United Kingdom","GBR",2002,35.88
"United Kingdom","GBR",2003,37.55
"United Kingdom","GBR",2004,35.7
"United Kingdom","GBR",2005,35.54
"United Kingdom","GBR",2006,36.34
"United Kingdom","GBR",2007,41.05
"United Kingdom","GBR",2008,44.97
"United Kingdom","GBR",2009,43.93
"United Kingdom","GBR",2010,48.11
"United Kingdom","GBR",2011,71.14
"United Kingdom","GBR",2012,83.92
"United Kingdom","GBR",2013,89.68
"United Kingdom","GBR",2014,95.33
"United Kingdom","GBR",2015,113.72
"United Kingdom","GBR",2016,114.82
"United Kingdom","GBR",2017,123.44
"United Kingdom","GBR",2018,129.97
"United Kingdom","GBR",2019,121.12
"United Kingdom","GBR",2020,128.44
"United Kingdom","GBR",2021,131.81
